w1,w2,w3
0.24073,0.031687,0.087063
0.23014,0.026812,0.080675
0.22284,0.024287,0.076886
0.24945,0.032399,0.089898
0.23811,0.030415,0.085436
0.22084,0.02455,0.076549
0.22966,0.026673,0.080446
0.24151,0.028993,0.085291
0.22755,0.027157,0.080243
0.25057,0.035996,0.092839
0.25469,0.036751,0.094485
0.24711,0.034182,0.090589
0.23701,0.029413,0.084407
0.22368,0.024516,0.077277
0.23535,0.027707,0.082714
0.24741,0.032569,0.089483
0.25577,0.034514,0.093128
0.25049,0.037796,0.094139
0.23468,0.029617,0.083939
0.24668,0.033938,0.090295
0.28721,0.040489,0.10585
0.24879,0.03593,0.092318
0.25142,0.035499,0.092697
0.23147,0.028483,0.082255
0.24188,0.028897,0.085316
0.33805,0.070798,0.14159
0.25494,0.033198,0.091938
0.24731,0.031776,0.088872
0.32946,0.065593,0.13549
0.24264,0.029037,0.085622
0.22127,0.023041,0.075554
0.22921,0.026618,0.080286
0.32907,0.066845,0.13631
0.25803,0.033715,0.093137
0.23996,0.031278,0.08656
0.30863,0.04977,0.11834
0.29496,0.044332,0.11073
0.22547,0.024822,0.077975
0.26255,0.037952,0.097449
0.30483,0.052702,0.11949
0.2909,0.045338,0.11039
0.24865,0.033943,0.090821
0.26005,0.032734,0.09295
0.32263,0.057398,0.12766
0.23179,0.02812,0.082074
0.25413,0.037195,0.094662
0.23209,0.027688,0.081836
0.26924,0.042938,0.10289
0.28511,0.048533,0.1112
0.25839,0.03561,0.094627
0.31624,0.056306,0.12516
0.31339,0.052486,0.1216
0.31356,0.055649,0.12397
0.30006,0.05087,0.11688
0.25132,0.034234,0.091741
0.3046,0.048685,0.11648
0.31149,0.056723,0.12421
0.24514,0.029444,0.086585
0.22515,0.026882,0.079403
0.23799,0.0293,0.084582
0.32332,0.059527,0.12941
0.37072,0.091849,0.16572
0.30917,0.050301,0.11888
0.25558,0.035605,0.093878
0.2448,0.034796,0.090426
0.24504,0.032923,0.089115
0.25448,0.037866,0.095248
0.3293,0.063754,0.1341
0.26569,0.036309,0.097073
0.25377,0.038745,0.095707
0.25834,0.034541,0.093826
